6.86,Highest winrate,1,70,Huskar
6.86,Highest winrate,2,62,Chen
6.86,Highest winrate,3,60,Leshrac
6.86,Highest winrate,4,59,Lycan
6.86,Highest winrate,5,59,Mirana
6.86,Highest winrate,6,58,Beastmaster
6.86,Highest winrate,7,58,Crystal Maiden
6.86,Highest winrate,8,57,Shadow Demon
6.86,Highest winrate,9,57,Brewmaster
6.86,Highest winrate,10,57,Spectre
6.86,Highest winrate,11,56,Axe
6.86,Highest winrate,12,56,Vengeful Spirit
6.86,Highest winrate,13,56,Enigma
6.86,Highest winrate,14,55,Luna
6.86,Highest winrate,15,55,Omniknight
6.86,Highest winrate,16,55,Sven
6.86,Highest winrate,17,55,Centaur Warrunner
6.86,Highest winrate,18,55,Outworld Devourer
6.86,Highest winrate,19,55,Bounty Hunter
6.86,Highest winrate,20,55,Chaos Knight
6.86,Highest winrate,21,55,Keeper of the Light
6.86,Highest winrate,22,54,Doom
6.86,Highest winrate,23,54,Juggernaut
6.86,Highest winrate,24,54,Clinkz
6.86,Highest winrate,25,54,Venomancer
6.86,Highest winrate,26,54,Io
6.86,Highest winrate,27,53,Earth Spirit
6.86,Highest winrate,28,53,Medusa
6.86,Highest winrate,29,53,Treant Protector
6.86,Highest winrate,30,52,Dark Seer
6.86,Highest winrate,31,52,Tidehunter
6.86,Highest winrate,32,52,Disruptor
6.86,Highest winrate,33,52,Lone Druid
6.86,Highest winrate,34,51,Anti-Mage
6.86,Highest winrate,35,51,Invoker
6.86,Highest winrate,36,51,Broodmother
6.86,Highest winrate,37,50,Dazzle
6.86,Highest winrate,38,50,Meepo
6.86,Highest winrate,39,50,Bloodseeker
6.86,Highest winrate,40,50,Shadow Fiend
6.86,Highest winrate,41,50,Lich
6.86,Highest winrate,42,50,Faceless Void
6.86,Highest winrate,43,50,Bane
6.86,Highest winrate,44,50,Zeus
6.86,Highest winrate,45,49,Tiny
6.86,Highest winrate,46,49,Viper
6.86,Highest winrate,47,49,Queen of Pain
6.86,Highest winrate,48,49,Death Prophet
6.86,Highest winrate,49,49,Nature's Prophet
6.86,Highest winrate,50,49,Witch Doctor
6.86,Highest winrate,51,49,Weaver
6.86,Highest winrate,52,49,Visage
6.86,Highest winrate,53,49,Templar Assassin
6.86,Highest winrate,54,49,Earthshaker
6.86,Highest winrate,55,49,Enchantress
6.86,Highest winrate,56,49,Lion
6.86,Highest winrate,57,48,Alchemist
6.86,Highest winrate,58,48,Nyx Assassin
6.86,Highest winrate,59,48,Lina
6.86,Highest winrate,60,48,Morphling
6.86,Highest winrate,61,48,Spirit Breaker
6.86,Highest winrate,62,48,Timbersaw
6.86,Highest winrate,63,48,Ursa Warrior
6.86,Highest winrate,64,48,Phoenix
6.86,Highest winrate,65,48,Abaddon
6.86,Highest winrate,66,48,Necrophos
6.86,Highest winrate,67,47,Batrider
6.86,Highest winrate,68,47,Shadow Shaman
6.86,Highest winrate,69,47,Phantom Lancer
6.86,Highest winrate,70,47,Razor
6.86,Highest winrate,71,47,Pugna
6.86,Highest winrate,72,47,Bristleback
6.86,Highest winrate,73,46,Slardar
6.86,Highest winrate,74,46,Magnus
6.86,Highest winrate,75,46,Rubick
6.86,Highest winrate,76,46,Ember Spirit
6.86,Highest winrate,77,46,Sand King
6.86,Highest winrate,78,46,Undying
6.86,Highest winrate,79,46,Gyrocopter
6.86,Highest winrate,80,46,Jakiro
6.86,Highest winrate,81,46,Drow Ranger
6.86,Highest winrate,82,46,Night Stalker
6.86,Highest winrate,83,45,Tusk
6.86,Highest winrate,84,45,Wraith King
6.86,Highest winrate,85,45,Ancient Apparition
6.86,Highest winrate,86,45,Puck
6.86,Highest winrate,87,45,Ogre Magi
6.86,Highest winrate,88,44,Pudge
6.86,Highest winrate,89,44,Warlock
6.86,Highest winrate,90,44,Clockwerk
6.86,Highest winrate,91,43,Terrorblade
6.86,Highest winrate,92,43,Tinker
6.86,Highest winrate,93,43,Legion Commander
6.86,Highest winrate,94,43,Oracle
6.86,Highest winrate,95,43,Slark
6.86,Highest winrate,96,43,Lifestealer
6.86,Highest winrate,97,43,Dragon Knight
6.86,Highest winrate,98,43,Windranger
6.86,Highest winrate,99,42,Winter Wyvern
6.86,Highest winrate,100,42,Kunkka
6.86,Highest winrate,101,41,Naga Siren
6.86,Highest winrate,102,40,Sniper
6.86,Highest winrate,103,38,Phantom Assassin
6.86,Highest winrate,104,38,Storm Spirit
6.86,Highest winrate,105,37,Silencer
6.86,Highest winrate,106,35,Skywrath Mage
6.86,Highest winrate,107,29,Elder Titan
6.86,Highest winrate,108,25,Riki
6.86,Most picked,1,40,Vengeful Spirit
6.86,Most picked,2,40,Invoker
6.86,Most picked,3,32,Witch Doctor
6.86,Most picked,4,29,Gyrocopter
6.86,Most picked,5,28,Nature's Prophet
6.86,Most picked,6,25,Beastmaster
6.86,Most picked,7,23,Earth Spirit
6.86,Most picked,8,22,Outworld Devourer
6.86,Most picked,9,21,Oracle
6.86,Most picked,10,21,Tusk
6.86,Most picked,11,20,Bane
6.86,Most picked,12,19,Batrider
6.86,Most picked,13,19,Enchantress
6.86,Most picked,14,19,Dark Seer
6.86,Most picked,15,18,Faceless Void
6.86,Most picked,16,18,Juggernaut
6.86,Most picked,17,17,Zeus
6.86,Most picked,18,17,Lion
6.86,Most picked,19,17,Chen
6.86,Most picked,20,16,Death Prophet
6.86,Most picked,21,16,Dazzle
6.86,Most picked,22,16,Disruptor
6.86,Most picked,23,15,Sven
6.86,Most picked,24,15,Lone Druid
6.86,Most picked,25,15,Queen of Pain
6.86,Most picked,26,14,Io
6.86,Most picked,27,14,Puck
6.86,Most picked,28,14,Night Stalker
6.86,Most picked,29,13,Bounty Hunter
6.86,Most picked,30,13,Doom
6.86,Most picked,31,13,Ember Spirit
6.86,Most picked,32,12,Spirit Breaker
6.86,Most picked,33,11,Lina
6.86,Most picked,34,11,Spectre
6.86,Most picked,35,10,Earthshaker
6.86,Most picked,36,10,Slardar
6.86,Most picked,37,10,Tiny
6.86,Most picked,38,9,Ursa Warrior
6.86,Most picked,39,9,Tidehunter
6.86,Most picked,40,9,Viper
6.86,Most picked,41,9,Rubick
6.86,Most picked,42,8,Slark
6.86,Most picked,43,8,Shadow Shaman
6.86,Most picked,44,8,Undying
6.86,Most picked,45,7,Enigma
6.86,Most picked,46,7,Ancient Apparition
6.86,Most picked,47,7,Windranger
6.86,Most picked,48,7,Phantom Lancer
6.86,Most picked,49,7,Morphling
6.86,Most picked,50,6,Razor
6.86,Most picked,51,6,Winter Wyvern
6.86,Most picked,52,6,Broodmother
6.86,Most picked,53,6,Abaddon
6.86,Most picked,54,6,Lycan
6.86,Most picked,55,6,Crystal Maiden
6.86,Most picked,56,6,Templar Assassin
6.86,Most picked,57,5,Mirana
6.86,Most picked,58,5,Drow Ranger
6.86,Most picked,59,5,Phoenix
6.86,Most picked,60,5,Weaver
6.86,Most picked,61,5,Clinkz
6.86,Most picked,62,5,Nyx Assassin
6.86,Most picked,63,4,Chaos Knight
6.86,Most picked,64,4,Alchemist
6.86,Most picked,65,4,Anti-Mage
6.86,Most picked,66,4,Visage
6.86,Most picked,67,4,Lich
6.86,Most picked,68,4,Jakiro
6.86,Most picked,69,4,Dragon Knight
6.86,Most picked,70,3,Bristleback
6.86,Most picked,71,3,Terrorblade
6.86,Most picked,72,3,Legion Commander
6.86,Most picked,73,3,Silencer
6.86,Most picked,74,3,Clockwerk
6.86,Most picked,75,3,Lifestealer
6.86,Most picked,76,3,Omniknight
6.86,Most picked,77,3,Brewmaster
6.86,Most picked,78,3,Shadow Fiend
6.86,Most picked,79,3,Sand King
6.86,Most picked,80,3,Medusa
6.86,Most picked,81,3,Skywrath Mage
6.86,Most picked,82,3,Ogre Magi
6.86,Most picked,83,3,Wraith King
6.86,Most picked,84,2,Timbersaw
6.86,Most picked,85,2,Magnus
6.86,Most picked,86,2,Leshrac
6.86,Most picked,87,2,Venomancer
6.86,Most picked,88,2,Pugna
6.86,Most picked,89,2,Kunkka
6.86,Most picked,90,2,Axe
6.86,Most picked,91,2,Keeper of the Light
6.86,Most picked,92,2,Shadow Demon
6.86,Most picked,93,2,Luna
6.86,Most picked,94,2,Treant Protector
6.86,Most picked,95,2,Phantom Assassin
6.86,Most picked,96,2,Naga Siren
6.86,Most picked,97,1,Centaur Warrunner
6.86,Most picked,98,1,Warlock
